timestamp,date,symbol,quantity,average_entry,latest_price,market_value,portfolio_weight,unrealized_pnl
2026-09-22T17:27:32.342197+00:00,2026-09-22,AAPL,0.6002044,333.18651,341.58,205.0178,0.1994078,5.0378
2026-09-22T17:27:32.342197+00:00,2026-09-22,GOOGL,0.57075505,350.25504,352.915,201.428,0.19591622,1.5182
2026-09-22T17:27:32.342197+00:00,2026-09-22,META,0.2190435,746.678152,744.595,163.0987,0.15863573,-0.4563
2026-09-22T17:27:32.342197+00:00,2026-09-22,QQQ,0.0625417,740.940285,745.425,46.6201,0.04534445,0.2805
2026-09-22T17:27:32.342197+00:00,2026-09-22,XLK,1.05636336,194.407155,195.6,206.6247,0.20097068,1.2601
2026-09-22T17:27:32.342197+00:00,2026-09-22,CASH,1,1,1,205.3441,0.19972512,0
2026-09-22T20:21:09.852228+00:00,2026-09-22,AAPL,0.6002044,333.18651,339.85,203.9795,0.19897482,3.9995
2026-09-22T20:21:09.852228+00:00,2026-09-22,GOOGL,0.57075505,350.25504,351.18,200.4378,0.19552001,0.5279
2026-09-22T20:21:09.852228+00:00,2026-09-22,META,0.2190435,746.678152,736.595,161.3463,0.1573877,-2.2086
2026-09-22T20:21:09.852228+00:00,2026-09-22,QQQ,0.0625417,740.940285,746.895,46.7121,0.045566,0.3724
2026-09-22T20:21:09.852228+00:00,2026-09-22,XLK,1.05636336,194.407155,196.27,207.3324,0.20224552,1.9678
2026-09-22T20:21:09.852228+00:00,2026-09-22,CASH,1,1,1,205.3441,0.20030594,0
2026-09-22T23:05:58.228744+00:00,2026-09-22,AAPL,0.6002044,333.18651,339.85,203.9795,0.1989764,3.9995
2026-09-22T23:05:58.228744+00:00,2026-09-22,GOOGL,0.57075505,350.25504,351.18,200.4378,0.19552156,0.5279
2026-09-22T23:05:58.228744+00:00,2026-09-22,META,0.2190435,746.678152,736.595,161.3463,0.15738895,-2.2086
2026-09-22T23:05:58.228744+00:00,2026-09-22,QQQ,0.0625417,740.940285,746.765,46.704,0.04555843,0.3643
2026-09-22T23:05:58.228744+00:00,2026-09-22,XLK,1.05636336,194.407155,196.27,207.3324,0.20224713,1.9678
2026-09-22T23:05:58.228744+00:00,2026-09-22,CASH,1,1,1,205.3441,0.20030753,0
2026-09-23T17:36:54.846760+00:00,2026-09-23,AAPL,0.6002044,333.18651,337.055,202.3019,0.19919682,2.3219
2026-09-23T17:36:54.846760+00:00,2026-09-23,META,0.2190435,746.678152,745.4,163.275,0.16076896,-0.28
2026-09-23T17:36:54.846760+00:00,2026-09-23,QQQ,0.0625417,740.940285,739.32,46.2383,0.04552863,-0.1013
2026-09-23T17:36:54.846760+00:00,2026-09-23,XLK,1.05636336,194.407155,194.69,205.6634,0.20250672,0.2988
2026-09-23T17:36:54.846760+00:00,2026-09-23,TSLA,0.47858792,378.68925,378.5,181.1455,0.17836518,-0.0906
2026-09-23T17:36:54.846760+00:00,2026-09-23,CASH,1,1,1,216.9638,0.21363369,0
2026-09-23T20:40:58.496146+00:00,2026-09-23,AAPL,0.6002044,333.18651,336.87,202.1909,0.1987582,2.2108
2026-09-23T20:40:58.496146+00:00,2026-09-23,META,0.2190435,746.678152,746.14,163.4371,0.16066239,-0.1179
2026-09-23T20:40:58.496146+00:00,2026-09-23,QQQ,0.0625417,740.940285,741.205,46.3562,0.04556922,0.0166
2026-09-23T20:40:58.496146+00:00,2026-09-23,TSLA,0.47858792,378.68925,380.25,181.9831,0.17889347,0.747
2026-09-23T20:40:58.496146+00:00,2026-09-23,XLK,1.05636336,194.407155,195.33,206.3395,0.20283637,0.9749
2026-09-23T20:40:58.496146+00:00,2026-09-23,CASH,1,1,1,216.9638,0.21328034,0
2026-09-23T23:08:59.431319+00:00,2026-09-23,AAPL,0.6002044,333.18651,336.87,202.1909,0.19873479,2.2108
2026-09-23T23:08:59.431319+00:00,2026-09-23,META,0.2190435,746.678152,746.68,163.5554,0.16075973,0.0004
2026-09-23T23:08:59.431319+00:00,2026-09-23,QQQ,0.0625417,740.940285,741.23,46.3578,0.04556539,0.0181
2026-09-23T23:08:59.431319+00:00,2026-09-23,TSLA,0.47858792,378.68925,380.25,181.9831,0.1788724,0.747
2026-09-23T23:08:59.431319+00:00,2026-09-23,XLK,1.05636336,194.407155,195.33,206.3395,0.20281247,0.9749
2026-09-23T23:08:59.431319+00:00,2026-09-23,CASH,1,1,1,216.9638,0.21325522,0
2026-09-24T17:39:57.525244+00:00,2026-09-24,AAPL,0.6002044,333.18651,337.38,202.497,0.19815104,2.517
2026-09-24T17:39:57.525244+00:00,2026-09-24,META,0.2190435,746.678152,768.24,168.278,0.16466645,4.723
2026-09-24T17:39:57.525244+00:00,2026-09-24,QQQ,0.0625417,740.940285,739.99,46.2802,0.04528698,-0.0594
2026-09-24T17:39:57.525244+00:00,2026-09-24,TSLA,0.47858792,378.68925,381.47,182.5669,0.17864874,1.3308
2026-09-24T17:39:57.525244+00:00,2026-09-24,XLK,1.05636336,194.407155,194.39,205.3465,0.20093939,-0.0181
2026-09-24T17:39:57.525244+00:00,2026-09-24,CASH,1,1,1,216.9638,0.21230739,0
2026-09-24T20:47:02.121918+00:00,2026-09-24,AAPL,0.6002044,333.18651,335.88,201.5967,0.19730008,1.6166
2026-09-24T20:47:02.121918+00:00,2026-09-24,META,0.2190435,746.678152,777.73,170.3567,0.16672593,6.8017
2026-09-24T20:47:02.121918+00:00,2026-09-24,QQQ,0.0625417,740.940285,740.055,46.2843,0.04529785,-0.0554
2026-09-24T20:47:02.121918+00:00,2026-09-24,TSLA,0.47858792,378.68925,377.99,180.9014,0.17704594,-0.3347
2026-09-24T20:47:02.121918+00:00,2026-09-24,XLK,1.05636336,194.407155,194.7,205.6739,0.20129047,0.3094
2026-09-24T20:47:02.121918+00:00,2026-09-24,CASH,1,1,1,216.9638,0.21233971,0
2026-09-24T23:41:54.287487+00:00,2026-09-24,AAPL,0.6002044,333.18651,335.88,201.5967,0.19729507,1.6166
2026-09-24T23:41:54.287487+00:00,2026-09-24,META,0.2190435,746.678152,777.73,170.3567,0.1667217,6.8017
2026-09-24T23:41:54.287487+00:00,2026-09-24,QQQ,0.0625417,740.940285,740.47,46.3103,0.04532211,-0.0294
2026-09-24T23:41:54.287487+00:00,2026-09-24,TSLA,0.47858792,378.68925,377.99,180.9014,0.17704145,-0.3347
2026-09-24T23:41:54.287487+00:00,2026-09-24,XLK,1.05636336,194.407155,194.7,205.6739,0.20128536,0.3094
2026-09-24T23:41:54.287487+00:00,2026-09-24,CASH,1,1,1,216.9638,0.21233432,0
2026-09-25T17:39:35.889831+00:00,2026-09-25,AAPL,0.6002044,333.18651,339.9,204.0095,0.20042277,4.0295
2026-09-25T17:39:35.889831+00:00,2026-09-25,META,0.2190435,746.678152,751.08,164.5192,0.16162677,0.9642
2026-09-25T17:39:35.889831+00:00,2026-09-25,QQQ,0.0625417,740.940285,744.71,46.5754,0.04575658,0.2358
2026-09-25T17:39:35.889831+00:00,2026-09-25,TSLA,0.47858792,378.68925,372.19,178.1256,0.174994,-3.1105
2026-09-25T17:39:35.889831+00:00,2026-09-25,XLK,1.05636336,194.407155,196.62,207.7022,0.20405054,2.3376
2026-09-25T17:39:35.889831+00:00,2026-09-25,CASH,1,1,1,216.9638,0.21314934,0
2026-09-25T20:45:06.566692+00:00,2026-09-25,AAPL,0.6002044,333.18651,341.02,204.6817,0.20102502,4.7017
2026-09-25T20:45:06.566692+00:00,2026-09-25,META,0.2190435,746.678152,751.26,164.5586,0.16161874,1.0036
2026-09-25T20:45:06.566692+00:00,2026-09-25,QQQ,0.0625417,740.940285,745.055,46.597,0.04576454,0.2573
2026-09-25T20:45:06.566692+00:00,2026-09-25,TSLA,0.47858792,378.68925,372.09,178.0778,0.17489637,-3.1583
2026-09-25T20:45:06.566692+00:00,2026-09-25,XLK,1.05636336,194.407155,196.25,207.3113,0.20360764,1.9467
2026-09-25T20:45:06.566692+00:00,2026-09-25,CASH,1,1,1,216.9638,0.21308769,0
2026-09-25T23:36:01.850716+00:00,2026-09-25,AAPL,0.6002044,333.18651,341.02,204.6817,0.20102446,4.7017
2026-09-25T23:36:01.850716+00:00,2026-09-25,META,0.2190435,746.678152,751.26,164.5586,0.16161829,1.0036
2026-09-25T23:36:01.850716+00:00,2026-09-25,QQQ,0.0625417,740.940285,745.1,46.5998,0.04576718,0.2602
2026-09-25T23:36:01.850716+00:00,2026-09-25,TSLA,0.47858792,378.68925,372.09,178.0778,0.17489589,-3.1583
2026-09-25T23:36:01.850716+00:00,2026-09-25,XLK,1.05636336,194.407155,196.25,207.3113,0.20360708,1.9467
2026-09-25T23:36:01.850716+00:00,2026-09-25,CASH,1,1,1,216.9638,0.2130871,0
